Member: 244 attended class 1 at 19-05-2020 22:40:26
Member: 244 attended class 1 at 19-05-2020 23:08:05
Member: 244 attended class 1 at 19-05-2020 23:28:23
Member: 244 attended class 1 at 20-05-2020 00:26:18
Member: 244 attended class 1 at 20-05-2020 00:30:38
Member: 244 attended class 1 at 20-05-2020 00:34:37
Member: 244 attended class 1 at 20-05-2020 00:41:27
Member: 244 attended class 1 at 20-05-2020 00:44:01
Member: 244 attended class 3 at 20-05-2020 00:44:01
Member: 244 attended class 1 at 20-05-2020 00:46:41
Member: 244 attended class 3 at 20-05-2020 00:46:41
Member: 244 attended class 1 at 20-05-2020 08:20:55
Member: 244 attended class 1 at 20-05-2020 08:23:22
Member: 244 attended class 3 at 20-05-2020 08:23:22
Member: 244 attended class 1 at 24-05-2020 15:42:50
Member: 244 attended class 3 at 24-05-2020 15:42:50
Member: 244 attended class 1 at 24-05-2020 15:42:50
Member: 244 attended class 3 at 24-05-2020 15:42:50
Member: 244 attended class 1 at 24-05-2020 16:46:30
